1,2,1
90X,6247,10
90E,6257,6
910,6261,4
911,6265,6
912,626E,12
913,6281,16
914,6297,X
915,62X5,8
916,62E1,X
917,62EE,28
918,6327,6
919,6331,X
91X,633E,6
91E,6345,6
920,634E,2
921,6351,6
922,6357,14
923,636E,6
924,6375,2
925,6377,10
926,6387,6
927,6391,24
928,63E5,2
929,63E7,X
92X,6405,8
92E,6411,14
930,6425,6
931,642E,8
932,6437,6
933,6441,X
934,644E,20
935,646E,18
936,6487,X
937,6495,2
938,6497,X
939,64X5,2
93X,64X7,10
93E,64E7,4
940,64EE,6
941,6505,18
942,6521,4
943,6525,2
944,6527,10
945,6537,16
946,6551,X
947,655E,2
948,6561,X
949,656E,2
94X,6571,4
94E,6575,18
950,6591,14
951,65X5,22
952,6607,4
953,660E,8
954,6617,6
955,6621,4
956,6625,10
957,6635,6
958,663E,8
959,6647,10
95X,6657,10
95E,6667,6
960,6671,4
961,6675,8
962,6681,1X
963,669E,2
964,66X1,14
965,66E5,12
966,6707,X
967,6715,6
968,671E,10
969,672E,10
96X,673E,12
96E,6751,6
970,6757,4
971,675E,18
972,6777,4
973,677E,10
974,678E,6
975,6795,2
976,6797,6
977,67X1,6
978,67X7,14
979,67EE,8
97X,6807,1X
97E,6825,2
980,6827,24
981,684E,8
982,6857,6
983,6861,4
984,6865,18
985,6881,4
986,6885,10
987,6895,20
988,68E5,18
989,6911,4
98X,6915,8
98E,6921,X
990,692E,2
991,6931,14
992,6945,2
993,6947,10
994,6957,10
995,6967,2X
996,6995,2
997,6997,4
998,699E,6
999,69X5,10
99X,69E5,6
99E,69EE,6
9X0,6X05,8
9X1,6X11,6
9X2,6X17,4
9X3,6X1E,2
9X4,6X21,6
9X5,6X27,20
9X6,6X47,4
9X7,6X4E,18
9X8,6X67,X
9X9,6X75,6
9XX,6X7E,6
9XE,6X85,12
9E0,6X97,4
9E1,6X9E,6
9E2,6XX5,6
9E3,6XXE,2
9E4,6XE1,10
9E5,6E01,6
9E6,6E07,X
9E7,6E15,2
9E8,6E17,X
9E9,6E25,6
9EX,6E2E,18
9EE,6E47,4
X00,6E4E,22
X01,6E71,4
X02,6E75,2
X03,6E77,6
X04,6E81,1X
X05,6E9E,2
X06,6EX1,20
X07,7001,4
X08,7005,6
X09,700E,2
X0X,7011,4
X0E,7015,6
X10,701E,20
X11,703E,6
X12,7045,8
X13,7051,4
X14,7055,2
X15,7057,2X
X16,7085,6
X17,708E,8
X18,7097,14
X19,70XE,10
X1X,70EE,2
X1E,7101,X
X20,710E,2
X21,7111,X
X22,711E,6
X23,7125,8
X24,7131,4
X25,7135,8
X26,7141,10
X27,7151,1X
X28,716E,6
X29,7175,12
X2X,7187,4
X2E,718E,22
X30,71E1,4
X31,71E5,2
X32,71E7,10
X33,7207,X
X34,7215,8
X35,7221,4
X36,7225,8
X37,7231,10
X38,7241,4
X39,7245,12
X3X,7257,6
X3E,7261,14
X40,7275,6
X41,727E,8
X42,7287,4
X43,728E,6
X44,7295,6
X45,729E,8
X46,72X7,6
X47,72E1,X
X48,72EE,10
X49,730E,2
X4X,7311,6
X4E,7317,6
X50,7321,14
X51,7335,8
X52,7341,6
X53,7347,6
X54,7351,10
X55,7361,X
X56,736E,2
X57,7371,6
X58,7377,16
X59,7391,4
X5X,7395,6
X5E,739E,6
X60,73X5,6
X61,73XE,10
X62,73EE,16
X63,7415,8
X64,7421,6
X65,7427,X
X66,7435,8
X67,7441,16
X68,7457,4
X69,745E,12
X6X,7471,6
X6E,7477,16
X70,7491,X
X71,749E,8
X72,74X7,X
X73,74E5,10
X74,7505,2
X75,7507,6
X76,7511,10
X77,7521,10
X78,7531,30
X79,7561,4
X7X,7565,6
X7E,756E,8
X80,7577,4
X81,757E,6
X82,7585,2
X83,7587,4
X84,758E,16
X85,75X5,10
X86,75E5,6
X87,75EE,8
X88,7607,6
X89,7611,6
X8X,7617,4
X8E,761E,16
X90,7635,2
X91,7637,4
X92,763E,2
X93,7641,20
X94,7661,4
X95,7665,6
X96,766E,6
X97,7675,12
X98,7687,26
X99,76E1,6
X9X,76E7,4
X9E,76EE,6
XX0,7705,10
XX1,7715,6
XX2,771E,18
XX3,7737,4
XX4,773E,8
XX5,7747,4
XX6,774E,8
XX7,7757,6
XX8,7761,6
XX9,7767,4
XXX,776E,26
XXE,7795,2
XE0,7797,X
XE1,77X5,10
XE2,77E5,8
XE3,7801,X
XE4,780E,8
XE5,7817,20
XE6,7837,6
XE7,7841,10
XE8,7851,4
XE9,7855,12
XEX,7867,4
XEE,786E,6
E00,7875,2
E01,7877,24
E02,789E,12
E03,78E1,14
E04,7905,2
E05,7907,10
E06,7917,6
E07,7921,4
E08,7925,18
E09,7941,X
E0X,794E,6
E0E,7955,6
E10,795E,6
E11,7965,8
E12,7971,X
E13,797E,10
E14,798E,12
E15,79X1,X
E16,79XE,12
E17,7X01,14
E18,7X15,12
E19,7X27,X
E1X,7X35,12
E1E,7X47,6
E20,7X51,14
E21,7X65,6
E22,7X6E,8
E23,7X77,6
E24,7X81,14
E25,7X95,18
E26,7XE1,X
E27,7XEE,2
E28,7E01,6
E29,7E07,4
E2X,7E0E,2
E2E,7E11,4
E30,7E15,10
E31,7E25,2
E32,7E27,X
E33,7E35,2
E34,7E37,6
E35,7E41,1X
E36,7E5E,6
E37,7E65,2
E38,7E67,4
E39,7E6E,16
E3X,7E85,8
E3E,7E91,X
E40,7E9E,8
E41,7EX7,1X
E42,8005,2
E43,8007,X
E44,8015,16
E45,802E,12
E46,8041,4
E47,8045,2
E48,8047,4
E49,804E,16
E4X,8065,2
E4E,8067,4
E50,806E,6
E51,8075,8
E52,8081,X
E53,808E,2
E54,8091,26
E55,80E7,4
E56,80EE,26
E57,8125,2
E58,8127,X
E59,8135,2
E5X,8137,16
E5E,8151,4
E60,8155,16
E61,816E,6
E62,8175,12
E63,8187,X
E64,8195,2
E65,8197,4
E66,819E,18
E67,81E7,30
E68,8227,6
E69,8231,4
E6X,8235,6
E6E,823E,12
E70,8251,4
E71,8255,18
E72,8271,X
E73,827E,12
E74,8291,1X
E75,82XE,6
E76,82E5,2
E77,82E7,26
E78,8321,10
E79,8331,X
E7X,833E,16
E7E,8355,2
E80,8357,4
E81,835E,12
E82,8371,6
E83,8377,1X
E84,8395,16
E85,83XE,2
E86,83E1,10
E87,8401,6
E88,8407,4
E89,840E,8
E8X,8417,4
E8E,841E,8
E90,8427,6
E91,8431,X
E92,843E,2
E93,8441,10
E94,8451,16
E95,8467,X
E96,8475,12
E97,8487,14
E98,849E,12
E99,84E1,4
E9X,84E5,6
E9E,84EE,6
EX0,8505,2
EX1,8507,6
EX2,8511,4
EX3,8515,2
EX4,8517,24
EX5,853E,2
EX6,8541,24
EX7,8565,6
EX8,856E,2
EX9,8571,4
EXX,8575,6
EXE,857E,12
EE0,8591,4
EE1,8595,10
EE2,85X5,12
EE3,85E7,14
EE4,860E,12
EE5,8621,4
EE6,8625,6
EE7,862E,8
EE8,8637,6
EE9,8641,4
EEX,8645,6
EEE,864E,6
1000,8655,6
