[2, 57]: 1
[3, 57]: 3
[4, 57]: 2
[5, 57]: 3
[6, 57]: 2
[7, 57]: 1
[8, 57]: 3
[9, 57]: 6
[X, 57]: 2
[E, 57]: 1
[10, 57]: 1
[11, 57]: 1
[12, 57]: 6
[13, 57]: 6
[14, 57]: 2
[15, 57]: 2
[16, 57]: 1
[17, 57]: 2
[18, 57]: 1
[19, 57]: 2
[1X, 57]: 6
[1E, 57]: 2
[20, 57]: 6
[21, 57]: 6
[22, 57]: 2
[23, 57]: 3
[24, 57]: 1
[25, 57]: 1X
[26, 57]: E
[27, 57]: 1
[28, 57]: 1
[29, 57]: 2
[2X, 57]: 1
[2E, 57]: 2
[30, 57]: 2
[31, 57]: 1X
