[647, 38]: 99
[647, 323]: 6
[647, 646]: 141
[653, 1]: 1307
[653, 2]: 1305
[653, 4]: 504
[653, 163]: 134
[653, 326]: 171
[653, 652]: 607
[659, 1]: 1319
[659, 2]: 1317
[659, 7]: 12
[659, 14]: 4306
[659, 47]: 185
[659, 94]: 465
[659, 329]: 59
[659, 658]: 10
[661, 1]: 1323
[661, 2]: 1321
[661, 3]: 3008
[661, 4]: 106
[661, 5]: 1793
[661, 6]: 3009
[661, 10]: 190
[661, 11]: 68
[661, 12]: 246
[661, 15]: 1928
[661, 20]: 919
[661, 22]: 3
[661, 30]: 3585
[661, 33]: 632
[661, 44]: 443
[661, 55]: 133
[661, 60]: 2119
[661, 66]: 1201
[661, 110]: 157
[661, 132]: 241
[661, 165]: 188
[661, 220]: 1471
[661, 330]: 26
[661, 660]: 35
[673, 1]: 1347
[673, 2]: 1345
[673, 3]: 255
[673, 4]: 58
[673, 6]: 256
[673, 7]: 117
[673, 8]: 326
[673, 12]: 16
[673, 14]: 53
[673, 16]: 84
[673, 21]: 192
[673, 24]: 4
[673, 28]: 12
[673, 32]: 114
[673, 42]: 1827
[673, 48]: 2
[673, 56]: 349
[673, 84]: 2399
[673, 96]: 236
[673, 112]: 1723
[673, 168]: 1277
[673, 224]: 268
[673, 336]: 112
[673, 672]: 460
[677, 1]: 1355
[677, 2]: 1353
[677, 4]: 4036
[677, 13]: 533
[677, 26]: 315
[677, 52]: 2349
[677, 169]: 134
[677, 338]: 69
[677, 676]: 417
[683, 1]: 1367
[683, 2]: 1365
[683, 11]: 2041
[683, 22]: 1793
[683, 31]: 347
[683, 62]: 316
[683, 341]: 244
[683, 682]: 392
[691, 1]: 1383
[691, 2]: 1381
[691, 3]: 437
[691, 5]: 1702
[691, 6]: 438
[691, 10]: 1233
[691, 15]: 159
[691, 23]: 3143
[691, 30]: 308
[691, 46]: 1469
[691, 69]: 130
[691, 115]: 255
[691, 138]: 2787
[691, 230]: 10
[691, 345]: 434
[691, 690]: 70
[701, 1]: 1403
[701, 2]: 1401
[701, 4]: 566
[701, 5]: 464
[701, 7]: 19
[701, 10]: 3568
[701, 14]: 1041
[701, 20]: 3756
[701, 25]: 112
[701, 28]: 239
[701, 35]: 142
[701, 50]: 3118
[701, 70]: 17
[701, 100]: 2486
[701, 140]: 1074
[701, 175]: 352
[701, 350]: 88
[701, 700]: 259
[709, 1]: 1419
[709, 2]: 1417
[709, 3]: 227
[709, 4]: 96
[709, 6]: 228
[709, 12]: 187
[709, 59]: 44
[709, 118]: 538
[709, 177]: 57
[709, 236]: 66
[709, 354]: 100
[709, 708]: 10
[719, 1]: 1439
[719, 2]: 1437
[719, 359]: 195
[719, 718]: 19
[727, 1]: 1455
[727, 2]: 1453
[727, 3]: 281
[727, 6]: 282
[727, 11]: 181
[727, 22]: 82
[727, 33]: 34
[727, 66]: 140
[727, 121]: 2
[727, 242]: 273
[727, 363]: 73
[727, 726]: 5
[733, 1]: 1467
[733, 2]: 1465
[733, 3]: 1158
[733, 4]: 380
[733, 6]: 1159
[733, 12]: 620
[733, 61]: 183
[733, 122]: 640
[733, 183]: 163
[733, 244]: 440
[733, 366]: 806
[733, 732]: 137
[739, 1]: 1479
[739, 2]: 1477
[739, 3]: 320
[739, 6]: 321
[739, 9]: 2598
[739, 18]: 1836
[739, 41]: 1318
[739, 82]: 1525
[739, 123]: 178
[739, 246]: 561
[739, 369]: 58
[739, 738]: 42
[743, 1]: 1487
[743, 2]: 1485
[743, 7]: 328
[743, 14]: 490
[743, 53]: 65
[743, 106]: 110
[743, 371]: 338
[743, 742]: 13
[751, 1]: 1503
[751, 2]: 1501
[751, 3]: 72
[751, 5]: 392
[751, 6]: 73
[751, 10]: 1110
[751, 15]: 168
[751, 25]: 348
[751, 30]: 78
[751, 50]: 698
[751, 75]: 32
[751, 125]: 380
[751, 150]: 34
[751, 250]: 757
[751, 375]: 2
[751, 750]: 364
[757, 1]: 1515
[757, 2]: 1513
[757, 3]: 4569
[757, 4]: 670
[757, 6]: 4570
[757, 7]: 62
[757, 9]: 2187
[757, 12]: 78
[757, 14]: 304
[757, 18]: 841
[757, 21]: 115
[757, 27]: 90
[757, 28]: 643
[757, 36]: 29
[757, 42]: 401
