X22,1EE1E,213
X23,161E7,404
X24,14185,1
X25,2E527,6E6
X26,675E,805
X27,34741,728
X28,13E2E,72E
X29,1E72E,708
X2X,12131,559
X2E,29045,717
X30,E945,815
X31,31721,X16
X32,16777,811
X33,20777,807
X34,10557,56E
X35,36507,512
X36,819E,525
X37,34EE5,7E0
X38,124X1,7E5
X39,12E37,3EX
X3X,15E9E,953
X3E,36E35,936
X40,13181,601
X41,37X31,92E
X42,10X97,9E3
X43,21X37,X04
X44,15E0E,7X3
X45,346E5,X03
X46,12XXE,265
X47,26471,128
X48,1467E,133
X49,2161E,482
X4X,10401,245
X4E,46441,6E3
X50,6657,567
X51,36E81,4E0
X52,12E15,197
X53,2538E,738
X54,1333E,593
X55,183X5,35X
X56,1385E,2E
X57,25165,422
X58,11071,9E9
X59,1X547,74X
X5X,1093E,663
X5E,38E87,46X
X60,8441,5X1
X61,41E97,XX
X62,1E07E,337
X63,14EXE,402
X64,15507,903
X65,28X01,428
X66,X551,957
X67,36095,900
X68,18947,673
X69,27331,56X
X6X,189EE,6X9
X6E,37XE7,888
X70,11E61,891
X71,46795,994
X72,17E05,5X9
X73,20745,908
X74,16477,84E
X75,42317,863
X76,70XE,X65
X77,65917,81X
X78,15XX5,211
X79,16075,385
X7X,12717,483
X7E,25467,94
X80,XX57,257
X81,48577,524
X82,26EX5,889
X83,1EX17,831
X84,9975,X81
X85,32X95,676
X86,X671,897
X87,44405,667
X88,17781,X61
X89,17XXE,2X5
X8X,16895,X09
X8E,30931,96
X90,11815,2X5
X91,4049E,X86
X92,120E5,75E
X93,17531,70X
X94,1963E,X53
X95,58235,952
X96,8005,985
X97,29147,877
X98,17847,957
X99,36507,X4
X9X,15561,3E3
X9E,42985,351
XX0,6881,4X1
XX1,386X7,386
XX2,10977,193
XX3,3174E,648
XX4,149E1,651
XX5,35467,75X
XX6,9557,487
XX7,47295,9X5
XX8,11EX1,461
XX9,1E315,688
XXX,1462E,1EE
XXE,44EE1,31E
XE0,1455E,EE
XE1,30535,41
XE2,17XXE,945
XE3,1367E,88
XE4,17X55,875
XE5,2E301,6X3
XE6,E98E,X2E
XE7,43E8E,983
XE8,1029E,423
XE9,1E257,3EX
XEX,13831,15E
XEE,44657,3X4
E00,X17E,7E
E01,268E5,588
E02,15427,9E7
E03,23471,8EX
E04,19155,XX1
E05,36561,1XE
E06,6X85,54E
E07,47117,932
E08,16X91,579
E09,296E7,487
E0X,12745,93E
E0E,3X921,743
E10,106X7,697
E11,41937,962
E12,19715,3X7
E13,269E1,35X
E14,1713E,713
E15,42011,XX0
E16,8591,177
E17,3728E,681
E18,2174E,67E
E19,1610E,538
E1X,19135,7E1
E1E,41EX5,84X
E20,X121,961
E21,3940E,78E
E22,1199E,937
E23,22771,641
E24,17665,X79
E25,40175,642
E26,936E,X85
E27,27E0E,191
E28,21901,601
E29,1X50E,X98
E2X,18X0E,2X7
E2E,422X5,6EX
E30,8517,E17
E31,44377,860
E32,19X6E,361
E33,5E36E,X32
E34,13175,121
E35,35827,383
E36,E937,597
E37,3X941,786
E38,17865,X51
E39,28707,651
E3X,10711,3E3
E3E,25055,87E
E40,X457,E17
E41,45415,509
E42,17401,509
E43,17715,805
E44,17235,309
E45,41671,355
E46,E2X7,991
E47,39551,X58
E48,1108E,883
E49,2XX57,827
E4X,25E61,603
E4E,423E5,X79
E50,9701,X1
E51,2E107,997
E52,24E6E,47E
E53,25055,53E
E54,20365,551
E55,37865,928
E56,763E,X15
E57,3E797,X00
E58,X821,1E9
E59,2280E,X18
E5X,1E935,975
E5E,2X101,690
E60,1112E,78E
E61,3E711,730
E62,13957,52E
E63,2068E,688
E64,X59E,X67
E65,33325,999
E66,107X7,1X1
E67,38781,453
E68,17EX1,889
E69,15905,4XE
E6X,11775,179
E6E,44115,E6X
E70,14X2E,53E
E71,51887,X64
E72,16331,X61
E73,21E47,981
E74,1834E,E23
E75,30755,970
